"Category","pathway","padj","NES","leadingEdge"
"WikiPathways","WP_PPAR_SIGNALING_PATHWAY",3.99571118106625e-07,2.50455398751059,"Acaa1b,Scd3,Pck1,Olr1,Rxrg,Fabp4,Ppara,Angptl4,Cd36,Sorbs1,Fabp5,Acsl1,Acox1,Gk,Ehhadh,Slc27a4,Aqp7,Acsbg1,Me1,Acadl,Acadm,Dbi,Acsl4,Cpt2,Rxrb,Pdpk1"
"WikiPathways","WP_ELECTRON_TRANSPORT_CHAIN",3.65302906024445e-05,2.17665310426868,"Cox6a2,Cox5a,Ndufa12,Ndufab1,Cox17,Ucp2,mt-Nd3,Atp5mc3,Ndufc2,Ndufa8,Ndufv1,Sco1,Uqcrfs1,Ndufc1,Ndufv2,Ndufb6,Uqcrc1,Uqcrq,Ndufb10,Ndufb4,Atp5pb,Uqcrh,Uqcr10,Cox7a2,Atp5f1d,Cox5b,Ndufs1,Atp5po,Uqcrb,Atp5f1a,Ndufb3,Ndufa5,Ndufa9,Ndufb2,Atp5mg,Sdhd,Ndufs7,Uqcrc2,Ndufb7,Sdhc,Ndufb9,Ndufs2,Cox6a1,Uqcr11,Ucp3,Slc25a5,Ndufs6,Atp5f1c,Atp5f1b,Sdhb,Cox8a,Atp5mf,Ndufs8,Cox4i1,Cox6c,Ndufa7,mt-Nd5"
"WikiPathways","WP_GLYCOLYSIS_AND_GLUCONEOGENESIS",4.08468596864299e-05,2.25411298005333,"Pck1,Dlat,Mpc1,Pdhb,Mpc2,Got1,Mdh2,Pgam1,Pfkp,Gpi1,Pdhx,Pcx,Hk2,Dld,Aldoa,Ldha,Ldhb,Eno1,Pdha1,Tpi1,Pfkl"
"WikiPathways","WP_CHOLESTEROL_METABOLISM_WITH_BLOCH_AND_KANDUTSCHRUSSELL_PATHWAYS",0.000158248995773037,2.18893827970316,"Elovl3,Acsl1,Soat2,Pmvk,Mvd,Lss,Acat2,Hsd17b7,Hmgcs1,Acsl4,Dhcr7,Cyp51,Ch25h,Nsdhl,Fdps,Nr1h2,Acsl3,Dhcr24,Lbr,Fads1,Fdft1,Hmgcr,Msmo1,Sqle,Sc5d"
"WikiPathways","WP_FATTY_ACID_BETAOXIDATION",0.000175476893470702,2.2026343759236,"Slc25a20,Acsl1,Hadhb,Pnpla2,Gk,Hadha,Decr1,Acadvl,Crat,Lipe,Acadl,Acadm,Acsl4,Acss2,Cpt2,Dld,Acads,Hadh,Acsl3"
"WikiPathways","WP_CYTOPLASMIC_RIBOSOMAL_PROTEINS",0.000179205840722309,-1.99593824243668,"Rps6,Rpl21,Rps23,Rps7,Rpl4,Rpl30,Rpl10a,Rps11,Rps27a,Rpl29,Rpl35a,Rps3a1,Rps24,Rpl26,Rpl17,Rpl35,Rpl19,Rpl39,Rpl12,Rpl3,Rpl36a,Rpl31,Rps27,Rpl32,Rps20,Rpl10,Rpl34,Rps26,Rpl15,Rps8,Rps16,Rpl18a,Rps12,Rpl22,Rpl7,Rpl28,Rpl11,Rpl41,Rplp0,Rps21,Rpl6,Rps18,Rpl13,Rps5,Rpl37,Rps17,Rps25,Rpl27a,Rps10,Rps29,Rps3,Rpl37a,Rps14,Rps15a,Rps15,Rps13,Rpl13a,Rpl7a"
"WikiPathways","WP_MITOCHONDRIAL_LONG_CHAIN_FATTY_ACID_BETAOXIDATION",0.000179205840722309,2.18186480419394,"Slc25a20,Acsl1,Ehhadh,Hadha,Acadvl,Acadl,Acadm,Acsl4,Cpt2,Acads,Scp2,Hadh,Acsl3"
"WikiPathways","WP_OXIDATIVE_STRESS_RESPONSE",0.000943318223236873,2.04286912118217,"Hmox1,Fos,Gstt2,Gclc,Cat,Sod2,Txnrd1,Mgst1,Gsr,Sod1"
"WikiPathways","WP_FOCAL_ADHESION",0.00143189819864883,-1.75680293712112,"Lama5,Tnc,Itgb2,Map2k6,Fn1,Col5a2,Col3a1,Itga5,Lamb2,Itga11,Col1a2,Col1a1,Thbs3,Lamb3,Pdgfrb,Thbs1,Ccnd1,Zyx,Flna,Flt1,Itgb5,Actn1,Itga2b,Lamc2,Col11a1,Src,Tnk2,Spp1,Vegfd,Vegfc,Col5a1,Pak3,Mapk7,Pak1,Pdgfra,Erbb2,Styk1,Fyn,Vasp,Bcl2"
"WikiPathways","WP_AMINO_ACID_METABOLISM",0.00194814143336775,1.85355111080683,"Pck1,Pdk4,Cth,Asns,Ehhadh,Gclm,Aco2,Got1,Mdh2,Wars1,Cs,Ogdh,Gsr,Acadm,Pdhx,Pcx,Adh1,Dld,Dlst,Gsta4,Farsb,Suclg1,Hadh,Ldha,Fah,Gss,Hibadh,Mpst,Pdha1,Iars1"
"WikiPathways","WP_COMPREHENSIVE_IL17A_SIGNALING",0.00227530408412502,-1.80109632935196,"Ccl5,Ccn2,Acta2,Cxcl5,Fbn1,Mki67,Plaur,Fn1,Mmp9,Col1a1,Mcm6,Mmp14,Angpt1,Smad7,Mmp3,Snai2,Cxcl12,Samhd1,Mcm5,C3"
