"GeneID","gene_name","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Selenow","Selenow",1.46830634535514,5.71294840377268,20.3672629660099,3.16501154196107e-21,2.08214239970113e-17,38.0222005474124
"Atg101","Atg101",1.14321460790042,7.74332077331659,19.8308418387462,7.60445390164438e-21,2.99057823772001e-17,37.4144660489238
"Igfals","Igfals",-2.33883883579536,4.93657624417907,-20.2998751225607,3.52965316104616e-21,2.08214239970113e-17,37.3797438389197
"Hp","Hp",-1.60121936688931,11.2858419516711,-19.5577764739654,1.19727003874364e-20,3.53134797927437e-17,36.9957011130292
"Dlc1","Dlc1",1.1192508674554,9.10118846374293,19.1469279863011,2.39413217239416e-20,5.39555978952213e-17,36.3219391194241
"Cidec","Cidec",1.34841478834942,10.089007963663,19.0669182034689,2.74397005739386e-20,5.39555978952213e-17,36.2056510634454
"Ccl6","Ccl6",-1.87378994914525,6.93187887908275,-18.8234498423227,4.16763910349663e-20,6.56099384288853e-17,35.7636795682105
"Plin2","Plin2",1.40702544369942,8.95968374383144,18.7856401672233,4.44888546729176e-20,6.56099384288853e-17,35.6990613878244
"Angptl4","Angptl4",1.12966540257439,9.04389313438552,18.1853475095341,1.27324654954014e-19,1.64782480391594e-16,34.6548277116939
"Arxes2","Arxes2",1.53420500216782,7.58814464839438,18.133273582428,1.39669842678076e-19,1.64782480391594e-16,34.5597355600577
"Arl4a","Arl4a",1.38136781117789,6.55854376711823,18.0322450358505,1.67240994156757e-19,1.79373568096493e-16,34.3364559087843
"Idh3a","Idh3a",1.22333514383079,8.08572935525482,17.5800052633651,3.78411512209197e-19,3.72041585087009e-16,33.5968059533767
"Ppp2r5a","Ppp2r5a",1.31560612126886,7.45122718297522,17.165736949977,8.11462838573776e-19,7.36433736114877e-16,32.8330703719237
"Hsd17b12","Hsd17b12",0.953390880825968,8.45596514523619,16.9541351809194,1.20487715414945e-18,9.75429731745315e-16,32.4528546060204
"4931406C07Rik","4931406C07Rik",1.44470917874728,6.88346464279208,16.9387643110593,1.24016324598913e-18,9.75429731745315e-16,32.3810251950563
"Acox1","Acox1",1.04428685444191,7.87395018737331,16.4451275604853,3.16874794177173e-18,2.33655551356393e-15,31.4963168662176
"Ly6c1","Ly6c1",-2.12225489272062,4.54511684664563,-16.2797744040516,4.35993508214156e-18,3.02579494700624e-15,30.9563926849336
"Ehd1","Ehd1",0.919761187291152,8.40275310121701,15.8463975380327,1.01839640842076e-17,6.67502268141561e-15,30.3426526428088
"Acsl1","Acsl1",1.24784861206363,11.2133099657402,15.3863009271201,2.55581377994921e-17,1.52925702320409e-14,29.4255476902064
"Echdc1","Echdc1",0.959645391325762,7.24762168728402,15.3792733012337,2.59240044618426e-17,1.52925702320409e-14,29.4159398588374
"Picalm","Picalm",0.911925601342275,7.4065272586292,15.2957677715038,3.07052392895576e-17,1.72504958637238e-14,29.2481588392796
"Hprt1","Hprt1",0.796347222863838,7.22344213716038,15.102946197066,4.55092557858906e-17,2.44053727164517e-14,28.8577926130418
"Emp1","Emp1",-1.33779336161809,6.85502254464969,-14.9815246225725,5.84167501602338e-17,2.87167007662683e-14,28.6129990712166
"Pck1","Pck1",1.99423652588116,6.36685372500627,14.9874535948786,5.77068596004922e-17,2.87167007662683e-14,28.5982296836952
"Prkar2b","Prkar2b",0.923421720963784,9.02071313188924,14.7612984890637,9.22293978776701e-17,4.3385811182641e-14,28.1552618392106
"Ciapin1","Ciapin1",0.958039842474655,7.39702163867077,14.7440293715959,9.56120605821891e-17,4.3385811182641e-14,28.1246257005606
"Ralgds","Ralgds",-1.32185541086342,6.25684345700046,-14.6534966592288,1.1554215979275e-16,5.04876444901804e-14,27.9214384969001
"Cbr3","Cbr3",1.31897294378284,7.54127798708812,14.3871534871813,2.02673568305817e-16,8.53979556740009e-14,27.3761202239964
"Nectin2","Nectin2",1.23028907646921,6.06957847721081,14.3260246062084,2.30816872800368e-16,9.39026712171979e-14,27.2162118395211
"Thbd","Thbd",-1.42783475690843,5.24922521477163,-14.0875189907389,3.84812968893326e-16,1.45134463093136e-13,26.7145255803277
"Fabp5","Fabp5",1.20424804830936,9.10989841520825,14.0769880652696,3.93651705287366e-16,1.45134463093136e-13,26.7082923760704
"Adcyap1r1","Adcyap1r1",-1.8908008248413,2.42563378125838,-14.279075356538,2.55126591900061e-16,1.00332784374564e-13,26.6800262094667
"Tuba1a","Tuba1a",-1.18965436274,7.77831352441166,-13.8629078174889,6.26231875821593e-16,2.23887383967974e-13,26.2611999003733
"Pdhb","Pdhb",0.819916925461099,7.83479311534566,13.8402141042787,6.58014725230598e-16,2.28331109655017e-13,26.2028628167174
"Ppp1r15b","Ppp1r15b",0.761634574404738,7.33388907026509,13.6794139558988,9.36021782837127e-16,3.15519571254641e-13,25.8612686779876
"Aifm2","Aifm2",0.926348102611872,6.53818597435182,13.6192115821254,1.06882521745406e-15,3.40810808527648e-13,25.7341221367414
"Hspd1","Hspd1",0.753564818853652,8.65697221338691,13.5790967512135,1.16788103932944e-15,3.62596329000229e-13,25.629209592785
"Hadha","Hadha",0.75558475753982,8.64913583009447,13.5251402142394,1.31611977485473e-15,3.88189527593403e-13,25.5089486051711
"Ccnd1","Ccnd1",-1.1881385626257,7.34532842130588,-13.5130241785773,1.35197421162593e-15,3.89038823140554e-13,25.5002416033268
"Cyp2f2","Cyp2f2",-2.07159686569196,4.80832787655195,-13.6218651855039,1.0625838054347e-15,3.40810808527648e-13,25.4538995088884
"Nrep","Nrep",-1.15833432000898,5.40205452916909,-13.4895622228808,1.42427150402232e-15,4.00084647725126e-13,25.4469230413651
"C9orf72","C9orf72",1.14592301720898,6.67163201373394,13.4651767892005,1.50361327556609e-15,4.12549521514621e-13,25.3963693118815
"Mustn1","Mustn1",-1.45607819042604,4.31178187590082,-13.5336277950291,1.29158339856403e-15,3.88189527593403e-13,25.3940072069922
"Sfxn1","Sfxn1",0.898746716470107,9.05169973657737,13.3281893368871,2.04143239689278e-15,5.47382259512296e-13,25.0649809696948
"Tspan4","Tspan4",-0.936364625663237,6.7587235719298,-13.2144093665267,2.63596445142011e-15,6.50361672770788e-13,24.8408439620484
"S100a4","S100a4",-1.06969690725918,9.12325655592093,-13.2212348692478,2.59574748534366e-15,6.50361672770788e-13,24.827319313941
"Ubqln1","Ubqln1",0.786798764939541,7.50875094330247,13.2127248635622,2.64598748033546e-15,6.50361672770788e-13,24.8248208051488
"Dhrs9","Dhrs9",1.5362048461962,5.5381229226715,13.292204456469,2.21295617175349e-15,5.80187931429949e-13,24.8185420452653
"Cd63","Cd63",-0.612640375410797,10.8116610691933,-13.0801750744244,3.57048634457296e-15,8.59685671291261e-13,24.4926388813571
"Ccl9","Ccl9",-1.71159929492565,6.86593296265835,-13.0472271114436,3.84780156377065e-15,9.07927256987321e-13,24.3667785194914
"Mrpl15","Mrpl15",0.786444224696809,7.05482060312321,12.9612053851677,4.68040968796449e-15,1.08273477448245e-12,24.2629651649365
"Gas6","Gas6",-1.09914326077131,6.62718384071936,-12.9035493933688,5.33963951249787e-15,1.18862390506509e-12,24.1241707365437
"Syn2","Syn2",-1.5737998121454,4.9170037893026,-12.8829880976733,5.59707821154669e-15,1.20461504605919e-12,24.095092493819
"Aldh1a7","Aldh1a7",1.14690441050385,7.65976635355903,12.8815398223071,5.61568295755684e-15,1.20461504605919e-12,24.071962962424
"Acsl5","Acsl5",-1.28924657347117,5.37241076963171,-12.9500671543175,4.80094049527875e-15,1.08925953775574e-12,24.0325858849364
"Cryab","Cryab",-1.08853770808628,5.49751913826589,-12.8249527418638,6.39435738453298e-15,1.34715407897714e-12,23.9635285985115
"Mcrip2","Mcrip2",0.99625848784417,6.12079700760452,12.7437391779899,7.70937436484439e-15,1.59570524134095e-12,23.7789369037583
"Gsn","Gsn",-0.84584808410079,7.12445019596139,-12.6279200422132,1.00794173585947e-14,2.0502925171845e-12,23.4957705345223
"Mxra8","Mxra8",-0.959143336064185,6.62854333482759,-12.5171968680844,1.30429635761747e-14,2.56468140452849e-12,23.2486339561483
"Asns","Asns",0.789563957265035,7.60872136912434,12.5195321859468,1.29720533142094e-14,2.56468140452849e-12,23.2421730416503
"Tmem176b","Tmem176b",-1.05381289217907,8.12493870819654,-12.4681430785501,1.46275889215097e-14,2.82911957534379e-12,23.130295925716
"Fosl1","Fosl1",1.63707402225002,5.89328693881511,12.3979461322312,1.72444952611371e-14,3.28146056598219e-12,22.899503487864
"Pim3","Pim3",0.80414404413014,8.81471492312565,12.3729801755452,1.82866441002534e-14,3.42453693801254e-12,22.8782255684417
"Nudt4","Nudt4",-0.629721486902278,7.45301718139546,-12.3325598741606,2.01122874343626e-14,3.70757448672828e-12,22.8018654875175
"S100a6","S100a6",-0.799469560646012,10.4313278903951,-12.2779589760469,2.28783092960628e-14,4.15258912422999e-12,22.6337009007016
"Zfp503","Zfp503",-0.67254067829382,6.05555822376687,-12.2381385662267,2.5138319523899e-14,4.49366505671152e-12,22.6070413947313
"Tmem182","Tmem182",1.34552807922432,4.80915736566825,12.2251905058737,2.59213346702603e-14,4.56447621551837e-12,22.5513849153954
"Tmem176a","Tmem176a",-0.958142796874891,7.13121687069902,-12.194612160075,2.78709557588274e-14,4.83561082415655e-12,22.509343993539
"Agpat3","Agpat3",0.714725096814704,7.5595806372604,12.1751764742736,2.91874096326848e-14,4.9906240412524e-12,22.4309891032417
"Serpina3c","Serpina3c",-1.51260964981743,5.38712894582359,-12.0727167405545,3.72556001064171e-14,6.27916528650728e-12,22.2237596354923
"Sorbs1","Sorbs1",0.956459660184045,7.93491707146148,11.9935657761871,4.50253089055734e-14,7.37789714538826e-12,21.9929203289819
"Chp1","Chp1",0.720207392743861,8.8845133546204,11.9989582025608,4.44469022860441e-14,7.37789714538826e-12,21.9841838988837
"Pgd","Pgd",0.675884425767088,7.63760086806676,11.9412473474755,5.10525336398587e-14,8.13942962004125e-12,21.8734971478933
"1600014C10Rik","1600014C10Rik",0.772984742327346,7.04482930279813,11.905305928209,5.56652296169631e-14,8.75651172027908e-12,21.8094107745642
"3930402G23Rik","3930402G23Rik",1.36702193009299,4.076582809578,11.9615230611494,4.86245124420064e-14,7.85852051768207e-12,21.7152253513233
"Sparcl1","Sparcl1",-1.24756047569928,8.41223343158519,-11.8862268001089,5.82846333775966e-14,8.93041694271279e-12,21.7126033436185
"Gpi1","Gpi1",0.79557760163411,8.14323347250994,11.840776337232,6.50437789639496e-14,9.71375321793262e-12,21.6197464649792
"Vim","Vim",-0.806797813753661,10.0611799494583,-11.8431376016581,6.46736546964083e-14,9.71375321793262e-12,21.5962437161006
"Olfml3","Olfml3",-1.38636470648239,3.28771643797867,-11.8912326613741,5.75854224851061e-14,8.93041694271279e-12,21.5883800475615
"Trarg1","Trarg1",0.854839419154446,7.71296374590412,11.8157185454727,6.91074241475859e-14,1.01916173761652e-11,21.5641368413468
"Efr3a","Efr3a",0.656215063106971,7.44002953173559,11.7355897668975,8.39293369717388e-14,1.22246705875626e-11,21.3787267122514
"Isoc1","Isoc1",0.705444155052163,7.47138493987276,11.7286668514399,8.53534500421233e-14,1.22804878487435e-11,21.3609873786334
"Gpat3","Gpat3",0.954103045430326,6.42558927871589,11.7208566014581,8.69897504353995e-14,1.2365121393215e-11,21.345810415788
"Dlat","Dlat",0.729655595203637,6.91664690934302,11.6504033968012,1.03278656853535e-13,1.43853465312881e-11,21.1807529206862
"Aco2","Aco2",0.662848965159805,9.52021266967581,11.6489691617865,1.03640825153372e-13,1.43853465312881e-11,21.1252970106364
"Cst3","Cst3",-0.815075781109179,9.19570215489241,-11.6321921107976,1.07974883482463e-13,1.48126473875127e-11,21.0885871434105
"Cavin1","Cavin1",0.591921913510859,10.8158054833082,11.5673833960233,1.26530611147909e-13,1.71587143715291e-11,20.9170872215094
"Ffar2","Ffar2",0.789958902319517,8.03880255235795,11.5446674849038,1.33779703785999e-13,1.79356016507638e-11,20.8976150110103
"Ier5","Ier5",-1.16158935604174,5.17066008293695,-11.5187603786293,1.42566727837563e-13,1.88989017418829e-11,20.8252806271543
"Prkg2","Prkg2",-1.68698301110881,5.07037664432658,-11.5026005962274,1.48343983725385e-13,1.94462479999121e-11,20.7568287410268
"Ctsl","Ctsl",-0.647474040420981,8.96163089483485,-11.4817492846158,1.56153369187503e-13,2.02450269194962e-11,20.7257697338941
"Hadhb","Hadhb",0.871387291124269,6.20439890130918,11.4458009637818,1.70616549563882e-13,2.18797179538552e-11,20.7076381661917
"Pgp","Pgp",0.878338826022508,7.43171841827744,11.4045187436826,1.88923688880175e-13,2.39668998000894e-11,20.5759459060961
"Hcar2","Hcar2",1.56141578131166,5.48365664093899,11.3691918210328,2.06177083971745e-13,2.56050235441963e-11,20.5131745331987
"Egln3","Egln3",0.832060002568699,8.86262454089343,11.3903059096722,1.9568066951736e-13,2.45600057336789e-11,20.5024115307018
"Dysf","Dysf",1.09533574550392,5.39607625861073,11.278872387652,2.57981626289866e-13,3.1378012649153e-11,20.3083009681063
"Cd36","Cd36",0.688853923504807,9.89132019106297,11.3148431617004,2.35919996784531e-13,2.89935846048322e-11,20.301432860929
"Mmd","Mmd",0.974680640188088,7.57433155936717,11.2707000524468,2.63280872382484e-13,3.16957931874341e-11,20.227722046458
"Hexa","Hexa",-0.764586750943712,7.18855862451473,-11.2259603608453,2.94325391141702e-13,3.5075262269594e-11,20.1308661928376
"Pfkl","Pfkl",0.557297205007075,8.8640338299879,11.2036114376453,3.11208013575637e-13,3.67163214416537e-11,20.0416017656529
"Mmp14","Mmp14",-0.852480662981532,8.2604439726473,-11.192167834207,3.20231986742073e-13,3.70208793250243e-11,20.0272188971428
"Ghitm","Ghitm",0.624411860931739,9.4942634025884,11.1911342821422,3.21060040941212e-13,3.70208793250243e-11,19.9960183537132
"Ldha","Ldha",0.720224662622883,10.0799352760896,11.1884719179315,3.23203133622436e-13,3.70208793250243e-11,19.9815373502694
