"GeneID","gene_name","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Arxes2","Arxes2",2.68215795291687,7.58814464839438,32.1837297350658,6.04379236025251e-28,7.13046622662591e-24,53.4465984346706
"Angptl4","Angptl4",1.92452385395057,9.04389313438552,31.3361483665969,1.51663602286055e-27,8.94663589885436e-24,52.5785992775665
"Hsd17b12","Hsd17b12",1.70949537260072,8.45596514523619,30.7130244928604,3.02772209879796e-27,1.19070217738728e-23,51.9431274524744
"Plin2","Plin2",2.08968568860462,8.95968374383144,28.1097811340853,6.30544255077454e-26,1.85979028035095e-22,49.0192438408318
"Arl4a","Arl4a",2.01013781590126,6.55854376711823,26.5083184055447,4.65295279928607e-25,1.09791074251954e-21,46.9662200019656
"Hprt1","Hprt1",1.32749159391598,7.22344213716038,25.4059131713151,1.96485841726018e-24,3.86356660113926e-21,45.6154010669365
"Retsat","Retsat",1.35863233641398,8.00358538116464,23.8564517408446,1.64099808474814e-23,2.46938989229683e-20,43.57838917978
"Picalm","Picalm",1.40884744195186,7.4065272586292,23.8139110463191,1.74244434478548e-23,2.46938989229683e-20,43.4934447058781
"Dlc1","Dlc1",1.38476250041209,9.10118846374293,23.725951782342,1.97312131761799e-23,2.46938989229683e-20,43.4089698997103
"Cidec","Cidec",1.67269856295546,10.089007963663,23.6843044784333,2.09305805415904e-23,2.46938989229683e-20,43.3631768948075
"4931406C07Rik","4931406C07Rik",1.9846881629481,6.88346464279208,23.4664231888266,2.85434159790071e-23,3.06141110654841e-20,42.9689074366411
"Pck1","Pck1",2.91070489632465,6.36685372500627,22.1714981872455,1.90392162512289e-22,1.87187227776666e-19,41.0798635970676
"Idh3a","Idh3a",1.51605676103111,8.08572935525482,21.8397661524844,3.14427138759593e-22,2.85354721775822e-19,40.6639553790368
"Sorbs1","Sorbs1",1.70736894672051,7.93491707146148,21.6385537825555,4.27630900696278e-22,3.60370669029621e-19,40.3573679549376
"St3gal6","St3gal6",1.60829253048899,5.00669420761971,21.4990507670748,5.30017955568178e-22,3.90821989987085e-19,40.0387559210363
"Pim3","Pim3",1.38281169691239,8.81471492312565,21.4056518992289,6.12343264257026e-22,4.12139285351336e-19,40.0067837709343
"Emp1","Emp1",-2.00058376857986,6.85502254464969,-21.388540855,6.28793620641129e-22,4.12139285351336e-19,39.9531497304126
"Gstm2","Gstm2",-1.38594006042366,6.38647905862285,-21.1498357014873,9.11908758697988e-22,5.66247343953624e-19,39.5527825940379
"Tmed5","Tmed5",1.57568680769213,7.31221462714615,21.022679183575,1.11324183119856e-21,6.56701356224032e-19,39.3952125692912
"Igfals","Igfals",-2.95881867690902,4.93657624417907,-21.53917866228,4.98221254465049e-22,3.90821989987085e-19,39.3919405073373
"Cavin1","Cavin1",1.06059487424831,10.8158054833082,20.7839479149971,1.62355027128629e-21,9.12126004792172e-19,39.0368757836259
"Acsl1","Acsl1",1.67724603347792,11.2133099657402,20.7198939726625,1.79766320054416e-21,9.64037747273637e-19,38.9340621395712
"Atg101","Atg101",1.18618594147378,7.74332077331659,20.5400768138271,2.39626103982216e-21,1.22917772816617e-18,38.6475343801356
"Ubqln1","Ubqln1",1.17570674292284,7.50875094330247,19.8468767082571,7.40565299621001e-21,3.6404955853869e-18,37.5267011793184
"Aldh1a7","Aldh1a7",1.74865199465004,7.65976635355903,19.7972640266698,8.0386787900243e-21,3.79361329458827e-18,37.4457386635217
"Cd36","Cd36",1.1863712518851,9.89132019106297,19.5563049274919,1.2002193628279e-20,5.244514089868e-18,37.041580241729
"Ralgds","Ralgds",-1.92808389334739,6.25684345700046,-19.5700542073501,1.17295044066121e-20,5.244514089868e-18,37.0021083121776
"Cbr3","Cbr3",1.7772049625873,7.54127798708812,19.5277163204233,1.25901994587811e-20,5.30497047195356e-18,36.9873481495077
"Enpp2","Enpp2",-1.60542597311881,9.280363295051,-19.3902506862948,1.5858716751447e-20,6.45176345633007e-18,36.7679141086654
"Acox1","Acox1",1.20983009446956,7.87395018737331,19.0624083371053,2.76518464790567e-20,1.0874549491997e-17,36.216402686598
"Ppp2r5a","Ppp2r5a",1.4525148273907,7.45122718297522,18.9524246848709,3.33808328915501e-20,1.27040989178874e-17,36.0294338980866
"Nat8l","Nat8l",1.67864236019506,5.84622957828672,18.9215719382137,3.51970727440288e-20,1.29767207573141e-17,35.9233069804557
"Hadha","Hadha",1.04774274560868,8.64913583009447,18.800274972451,4.33778541298148e-20,1.50530292817752e-17,35.7634618370517
"Lrrc39","Lrrc39",1.7200935214137,4.84954340918385,18.8002398269378,4.33804878437324e-20,1.50530292817752e-17,35.657985655429
"Mmd","Mmd",1.59854460943496,7.57433155936717,18.6449137538459,5.67837463064356e-20,1.91409896835236e-17,35.4985049272805
"Lpcat3","Lpcat3",1.07156902978557,8.37025014081756,18.4628230195825,7.80409456380478e-20,2.55757521288247e-17,35.1779072128783
"Mxra8","Mxra8",-1.47820969827458,6.62854333482759,-18.4139658616762,8.50286470598392e-20,2.71126480543779e-17,35.0959603731758
"Nrep","Nrep",-1.69677270863904,5.40205452916909,-18.2444056259164,1.14668687602098e-19,3.46887481110141e-17,34.7664340043002
"Dhrs9","Dhrs9",2.07283428118205,5.5381229226715,18.2684711807571,1.09888314619023e-19,3.41174298914534e-17,34.5941660678879
"Ccl6","Ccl6",-1.80678469735744,6.93187887908275,-18.1131763443537,1.44756642822096e-19,4.26959718003771e-17,34.5630269631018
"Hp","Hp",-1.48131595802005,11.2858419516711,-18.0838676836544,1.5251766320788e-19,4.38878875738188e-17,34.5067202289218
"1600014C10Rik","1600014C10Rik",1.16435493461959,7.04482930279813,18.058619716677,1.59544970266152e-19,4.48169418857157e-17,34.4739272908872
"Syn2","Syn2",-2.61335203122318,4.9170037893026,-17.8573697070971,2.28882791335237e-19,6.27990505156541e-17,34.0164676376947
"Efr3a","Efr3a",0.986946214726014,7.44002953173559,17.7265937112698,2.89883317106611e-19,7.76389692983709e-17,33.8747790294599
"Eif1ad","Eif1ad",1.0696245536446,6.3210114141528,17.7106832886386,2.9836533505109e-19,7.76389692983709e-17,33.8476481230869
"Fabp5","Fabp5",1.51160727453897,9.10989841520825,17.702709186253,3.02711695857354e-19,7.76389692983709e-17,33.8156830525743
"Pex19","Pex19",1.08688502656145,7.18933671374644,17.4967938133614,4.40563937978273e-19,1.10590922133355e-16,33.4590596781327
"Tmem176b","Tmem176b",-1.53523294803836,8.12493870819654,-17.4692023401369,4.63407984611158e-19,1.13901820884217e-16,33.4138951931439
"Arhgef17","Arhgef17",-1.61318881116238,5.11293592147929,-17.4093936506014,5.17187905157596e-19,1.245261817357e-16,33.0853104287218
"Decr1","Decr1",1.06301578332438,8.01050216192471,17.2687361129599,6.70360832296296e-19,1.58178341988634e-16,33.0301106457764
"Dnajb9","Dnajb9",1.06867318597523,6.85323853306953,17.1874164432505,7.79425057424832e-19,1.80306996617611e-16,32.8964643841985
"Zfp503","Zfp503",-0.979156774517684,6.05555822376687,-17.170173855328,8.04797934163527e-19,1.82596269755025e-16,32.8642131778569
"Psmd4","Psmd4",0.999761697369572,8.29397484429226,17.1291310664108,8.68655225507014e-19,1.93365931142109e-16,32.7712936363183
"Mcrip2","Mcrip2",1.33038460954419,6.12079700760452,17.1172719885647,8.88056673312911e-19,1.94023937624921e-16,32.7680118880624
