"GeneID","gene_name","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Arxes2","Arxes2",1.744195967533,7.58814464839438,20.4983652858566,2.56225324179429e-21,3.02294637466891e-17,38.1721663340482
"Angptl4","Angptl4",1.1367225208133,9.04389313438552,18.104453130667,1.47023308583136e-19,8.67290497331921e-16,34.3362457403496
"Cd36","Cd36",0.970069290177642,9.89132019106297,15.8949570622847,9.25239600048737e-18,3.63865893379167e-14,30.402153196176
"Hsd17b12","Hsd17b12",0.86055758039175,8.45596514523619,15.1143292949262,4.4459730487285e-17,1.13941661840964e-13,28.8324765393847
"Emp1","Emp1",-1.38618991979132,6.85502254464969,-15.0740538833048,4.82885496867961e-17,1.13941661840964e-13,28.7221433148886
"Dlc1","Dlc1",0.880577075460463,9.10118846374293,14.8994407966025,6.92165601377451e-17,1.1665956807216e-13,28.4189579080601
"Arl4a","Arl4a",1.16690612738084,6.55854376711823,14.9255321244534,6.5578294503493e-17,1.1665956807216e-13,28.3765844872469
"Plin2","Plin2",1.11594801790353,8.95968374383144,14.6852998620107,1.08096800727937e-16,1.53342409793152e-13,27.968515861591
"Hp","Hp",-1.20261192825682,11.2858419516711,-14.647613808303,1.16975901689979e-16,1.53342409793152e-13,27.9035122559133
"Cidec","Cidec",1.03039961655938,10.089007963663,14.4737854873332,1.68678722529087e-16,1.99007156839817e-13,27.5568447851171
"Retsat","Retsat",0.823166998109988,8.00358538116464,14.2049865313268,2.98944144524001e-16,3.20631183372197e-13,26.9726542577401
"4931406C07Rik","4931406C07Rik",1.22611262769568,6.88346464279208,14.0871052412334,3.85156372123888e-16,3.7867290652647e-13,26.6621706228165
"Mcrip2","Mcrip2",1.11296900083604,6.12079700760452,14.0422115061991,4.24344009575204e-16,3.85108509612943e-13,26.5548534746196
"Hprt1","Hprt1",0.747757840345697,7.22344213716038,13.9556791974911,5.11795281724084e-16,4.31297195270053e-13,26.417981103662
"Idh3a","Idh3a",0.979726667502741,8.08572935525482,13.8829930813564,5.99413421331219e-16,4.71458636324381e-13,26.2913491506791
"St3gal6","St3gal6",1.04023720123156,5.00669420761971,13.351125268854,1.93926010100988e-15,1.42996191698216e-12,25.0062052290354
"Tmem176a","Tmem176a",-1.09248662888639,7.13121687069902,-12.9411969553475,4.8991950982228e-15,3.40004139816662e-12,24.1234989919717
"Ephx2","Ephx2",0.948462862986058,8.11218490990533,12.7645656259755,7.34781690102617e-15,4.8160857665726e-12,23.825913245125
"Fabp4","Fabp4",1.22912264559868,14.5851921701061,12.4876457599416,1.39752572484067e-14,8.24400425083514e-12,23.1789556804419
"Igfals","Igfals",-1.32157285075802,4.93657624417907,-12.5093988822298,1.3282626744031e-14,8.24400425083514e-12,23.0631786914893
"Nat8l","Nat8l",1.15083784598459,5.84622957828672,12.4650772774437,1.47329298278205e-14,8.27710029088697e-12,23.0299197643504
"Gas6","Gas6",-1.05193286891848,6.62718384071936,-12.1265089871654,3.27697604869487e-14,1.757352882841e-11,22.3508188272625
"Acox1","Acox1",0.78088368184585,7.87395018737331,12.0885585678617,3.58729039572115e-14,1.84012400385731e-11,22.2618105692813
