"GeneID","gene_name","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Cidec","Cidec",3.01199977841526,10.089007963663,38.4258379961709,1.29210022693825e-30,1.52441984774175e-26,59.5146449765603
"Ffar2","Ffar2",2.24090550409914,8.03880255235795,30.5776441541095,3.52446827068053e-27,2.07908383287444e-23,51.8684732322024
"Arxes2","Arxes2",3.37272694573495,7.58814464839438,29.108835024893,1.90921655570224e-26,7.50831230805833e-23,49.8213453129272
"Gpd1","Gpd1",2.67099611269019,10.4271900857402,28.1448122008287,6.04279400266908e-26,1.78232209108724e-22,49.1587598116417
"Retsat","Retsat",1.70614274886162,8.00358538116464,27.8990696338313,8.15278800959717e-26,1.92373185874455e-22,48.8144418367416
"Lipe","Lipe",2.12253420001223,10.2834688537057,27.7336148813405,9.98782647953901e-26,1.96393961342669e-22,48.6724253787205
"Arl4a","Arl4a",2.71780253754771,6.55854376711823,26.4021997388952,5.33233009573381e-25,8.98726149563821e-22,46.5746722307791
"Adipor2","Adipor2",1.4547048878284,9.33163707738555,24.3984639563221,7.70460443747438e-24,1.13623653941653e-20,44.365788853663
"Plin1","Plin1",1.39738514330288,9.86862270600649,24.3000178657147,8.82887587351252e-24,1.15736752839667e-20,44.2313361685067
"Dlc1","Dlc1",1.41231936433489,9.10118846374293,23.7585124633281,1.88427985838632e-23,2.22307337692419e-20,43.4757392786247
"Adig","Adig",1.58524121006094,8.27771810789571,23.6882495184664,2.08138300466716e-23,2.23237788082392e-20,43.3698630815709
"Trarg1","Trarg1",1.83171105289155,7.71296374590412,23.5069531962447,2.69377477224201e-23,2.64842956357594e-20,43.1036113509246
"Tsc22d1","Tsc22d1",1.13427070176358,8.71600428784429,22.9156786755533,6.32455301270242e-23,5.7397751110664e-20,42.2698601751657
"Cd36","Cd36",1.39588509278703,9.89132019106297,22.5642212646296,1.06011335055324e-22,8.30618531211367e-20,41.7534308414034
"G0s2","G0s2",2.15818377762889,9.37536723856513,22.5407423687499,1.09760629513364e-22,8.30618531211367e-20,41.7208295214561
"Cavin2","Cavin2",2.0263509274988,8.69192629866152,22.5232312394709,1.12645333949668e-22,8.30618531211367e-20,41.693231584928
"Idh3a","Idh3a",1.66808145357743,8.08572935525482,22.3077925692947,1.55222397395649e-22,1.0772434379258e-19,41.372670863029
"Fabp4","Fabp4",2.1813473941404,14.5851921701061,22.0642946323585,2.23741241908439e-22,1.42454614669986e-19,40.9919549748329
"Uck1","Uck1",1.51865878498884,7.40000906807873,22.0477021563314,2.29414958359869e-22,1.42454614669986e-19,40.9804471760873
"Dgat2","Dgat2",1.65285840285024,7.97832407588953,21.7632340487104,3.53337983603127e-22,1.9850864431189e-19,40.5561569932033
"Nat8l","Nat8l",2.31071586281628,5.84622957828672,21.8477796390376,3.106156579023e-22,1.83232176596567e-19,40.4760827298057
"Selenow","Selenow",1.40548405572009,5.71294840377268,21.5424426321957,4.95722577491902e-22,2.65842498602248e-19,40.2133381068372
"Acox1","Acox1",1.38598789179032,7.87395018737331,21.22264253945,8.13851256807274e-22,4.17470309904879e-19,39.7252659645306
"A530016L24Rik","A530016L24Rik",2.26173029406937,6.36945477447031,20.9753559823561,1.19935474821042e-21,5.89582804974439e-19,39.1615443328204
"Dnajb9","Dnajb9",1.26699518845966,6.85323853306953,20.1929655462178,4.19890359442094e-21,1.98154658427913e-18,38.0921175805476
"Cebpa","Cebpa",1.80576950160272,7.84591933888397,19.8416729618538,7.46957822491843e-21,3.38946476529183e-18,37.5186030958713
"Atg101","Atg101",1.18197011195185,7.74332077331659,19.8141628631641,7.81705406903198e-21,3.4157631076459e-18,37.4673485230088
"Pnpla2","Pnpla2",1.36462944476434,10.154638479046,19.5800931893095,1.1534420914424e-20,4.86011064101339e-18,37.0540455126952
"Gstz1","Gstz1",1.53697884732428,7.67831726348648,19.4249941525182,1.49581715956862e-20,6.08539684434157e-18,36.8207841595667
"4931406C07Rik","4931406C07Rik",1.77235424291701,6.88346464279208,19.3062220683785,1.82738679794905e-20,7.11122850676187e-18,36.627391160371
"Dhrs7b","Dhrs7b",1.57347399901723,7.22199800440981,19.2930541660643,1.86852079767433e-20,7.11122850676187e-18,36.6015478890881
"Tmcc3","Tmcc3",1.43856017232007,6.76914956579895,19.0513847389696,2.81775096662617e-20,1.0382988184537e-17,36.1979015410853
"Scarb1","Scarb1",1.29175326204705,8.16263586293305,19.0337044159676,2.90420927351858e-20,1.0382988184537e-17,36.1474475252924
"Mknk2","Mknk2",1.10071662776663,7.87522218186469,18.994253632355,3.10707138923901e-20,1.07815377206593e-17,36.08757020255
"Agpat2","Agpat2",1.81335002319841,8.56046158862337,18.9680569076646,3.24975594925894e-20,1.0954463054102e-17,36.0422629491651
"Ormdl3","Ormdl3",1.09124075006713,7.21847896236721,18.8265493023908,4.14540789461949e-20,1.35854228724224e-17,35.8042266442134
"Crat","Crat",1.38020778928147,7.08284066923045,18.7024165160173,5.13857920271579e-20,1.63851236307138e-17,35.5973086453613
"Echdc1","Echdc1",1.20858999563797,7.24762168728402,18.6737678585111,5.40060436121474e-20,1.67674553298977e-17,35.5412178318209
"Fitm2","Fitm2",1.56536204594834,6.85020595485955,18.6393418469428,5.73367933769621e-20,1.73451150836256e-17,35.4914733710153
"Sorbs1","Sorbs1",1.55321761250743,7.93491707146148,18.4678232146408,7.73598324641261e-20,2.2817282585294e-17,35.1775081717154
"Ephx2","Ephx2",1.39694498656662,8.11218490990533,18.4006400844761,8.70436717109784e-20,2.44509818772887e-17,35.0513102419392
"Mcur1","Mcur1",0.971497854124022,7.73357453233685,18.3656888552195,9.25646123386104e-20,2.53971464272308e-17,34.9820149343102
