"GeneID","gene_name","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Hp","Hp",3.95319899356872,11.2858419516711,51.3438687615721,5.03124343098939e-35,5.93586099988128e-31,70.0212619267682
"Cidec","Cidec",-3.84480653938074,10.089007963663,-49.1967545170342,2.26077446741425e-34,1.33363085832766e-30,68.4829427642525
"Tnip1","Tnip1",2.9126410180598,7.52056730556187,47.5084587367011,7.7113531685728e-34,2.5762641963602e-30,67.225161969257
"Ccl2","Ccl2",6.47750981354372,6.984013534328,47.3401967386925,8.73457940790032e-34,2.5762641963602e-30,66.8748694582163
"Nfkbia","Nfkbia",2.97171024622432,9.4413834029762,44.2647973468773,9.21538766905113e-33,1.81205239532442e-29,64.8539833873725
"Cfb","Cfb",5.95259817593393,7.08841000650065,44.5363549919188,7.43763594687708e-33,1.75498457802511e-29,64.5225380165797
"Ripk2","Ripk2",4.05159883464528,5.34660894105224,40.8753308497328,1.49615932504767e-31,2.52166967384463e-28,61.3818864365532
"Tagln2","Tagln2",3.12207202428676,7.55711799992045,39.8619870066161,3.59449266794012e-31,5.30097806204469e-28,61.1942604588259
"Ptges","Ptges",2.77407469419146,7.75550845678384,38.4929317332514,1.21590214046828e-30,1.59391260591608e-27,59.9826731636385
"Vcam1","Vcam1",3.55234938545936,7.38037682830589,37.7383629856701,2.42292693766562e-30,2.85856920105789e-27,59.3023117345398
"Sod2","Sod2",2.23957289343806,9.33113514452745,37.3740583947549,3.39592439501716e-30,3.33875966770104e-27,58.9702546641244
"Ccl7","Ccl7",5.85540786580515,6.08376697279679,37.4920979261395,3.04301078576777e-30,3.26376738640801e-27,58.795173104705
"Tnfaip2","Tnfaip2",2.97574092941321,7.41014416058819,36.6736197415809,6.55716839828976e-30,5.9508825202325e-27,58.3077630395323
"Gpd1","Gpd1",-3.46075501444912,10.4271900857402,-36.5485308571103,7.38404124455329e-30,6.22263704308855e-27,58.1926555528215
"Irf1","Irf1",2.93194834424438,7.17296004935923,35.7703502320221,1.55945609504676e-29,1.22656420062411e-26,57.443374287433
"Nrp2","Nrp2",3.26542012274202,6.23598649427091,35.5269160141592,1.97658871397016e-29,1.45748710296374e-26,57.15305375068
"Mknk2","Mknk2",-2.03037614915693,7.87522218186469,-35.3398680321804,2.3739390686284e-29,1.64751371362811e-26,57.0286953387344
"Pdpn","Pdpn",4.08014439045072,5.63357988198215,35.115258551354,2.96159782550897e-29,1.9411628414086e-26,56.6693022060129
"Plin1","Plin1",-2.00087715271507,9.86862270600649,-34.8118725425803,4.00127452416178e-29,2.25393900989025e-26,56.4948801147794
"A530016L24Rik","A530016L24Rik",-3.68059468520163,6.36945477447031,-34.9468170517829,3.49899791774377e-29,2.17269354913374e-26,56.4837378135133
"Pank3","Pank3",-2.56186589705453,9.21820099336798,-34.790511640381,4.08732582077546e-29,2.25393900989025e-26,56.4765904332852
"Bid","Bid",2.21452355270952,6.36948469511678,34.7625208034369,4.20297153903929e-29,2.25393900989025e-26,56.4498612460258
"Ccl9","Ccl9",3.30399056998306,6.86593296265835,34.3497559401193,6.35797802828886e-29,3.26136629468487e-26,56.0421553091356
"Csf1","Csf1",2.85807497700034,6.53948476558921,34.2571409281838,6.98125374079537e-29,3.43186798474599e-26,55.9498839191561
"Lipe","Lipe",-2.61957417556864,10.2834688537057,-34.2072246379399,7.3428748862034e-29,3.46524951629711e-26,55.8854658841998
"Cxcl5","Cxcl5",4.32320457753419,5.68668605317998,34.0423311192367,8.68027800748416e-29,3.93884307431916e-26,55.6114172262736
"Smpd1","Smpd1",1.7483891205405,7.31041860259586,33.4325246676399,1.6224877223074e-28,7.08967042510472e-26,55.108594941908
"Tmem176a","Tmem176a",2.2938162304186,7.13121687069902,33.1359145073472,2.20800156472952e-28,9.3035723073853e-26,54.7986902973937
"Il6st","Il6st",1.99897714561568,6.88686477853076,32.9374724636397,2.71742403110371e-28,1.10552305927454e-25,54.5948322343768
"Rgs2","Rgs2",-3.07888489821794,7.56716852239568,-32.6637609418677,3.62536918238099e-28,1.42573685379103e-25,54.2998542325809
"Angptl4","Angptl4",1.96645578470835,9.04389313438552,32.1770803456197,6.08703484579808e-28,2.17620718517351e-25,53.7719240689835
"Adrb3","Adrb3",-5.23797861466048,5.90528439352123,-32.2043263934517,5.91183912296866e-28,2.17620718517351e-25,53.5788121386796
"Cd44","Cd44",3.19268542050743,5.74650131243097,31.9762431267827,7.55453269022119e-28,2.62142284350675e-25,53.5300857676369
"Junb","Junb",3.50506728301505,6.13175070358765,31.7896004866036,9.24431320098195e-28,3.11612591843386e-25,53.3505484063443
"G0s2","G0s2",-3.02466803472365,9.37536723856513,-31.7272891752629,9.89121529745116e-28,3.24157105775913e-25,53.2816754090879
"Cdkn2c","Cdkn2c",-3.55107605141122,6.73727258064236,-31.627075452547,1.103077111809e-27,3.51732534192502e-25,53.1831676547106
"Ptx3","Ptx3",5.11442018209379,5.94645700065536,31.4770399142986,1.29947477039315e-27,3.93107777976881e-25,52.9853612592289
"Hpx","Hpx",6.92411908707401,6.18977084956208,32.2375895277861,5.70495259273688e-28,2.17119453835838e-25,52.9187257537727
"Cxcl1","Cxcl1",5.55859908631014,5.43555237738941,31.598475134322,1.13801163091819e-27,3.53322663725602e-25,52.7233592764078
"Cebpa","Cebpa",-2.78220899529003,7.84591933888397,-30.8468955355752,2.60698872219114e-27,7.68931323610276e-25,52.3306947489217
"Tst","Tst",-2.89817530176724,5.7329418369843,-30.6548477361354,3.23173157107889e-27,9.29950465258262e-25,52.1019055925514
"Cp","Cp",2.51459296232326,8.06581176385158,30.3988493266846,4.31167594106994e-27,1.21117030363674e-24,51.7995281450708
"Cavin2","Cavin2",-2.66789657734671,8.69192629866152,-29.7016704161267,9.56454806797024e-27,2.56460313877075e-24,51.0101355999737
