"GeneID","gene_name","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Cidec","Cidec",2.59668125576038,10.089007963663,32.9448535043351,2.69646553211334e-28,3.18129003478732e-24,54.1400406408231
"Arxes2","Arxes2",3.03786102644406,7.58814464839438,26.0638547132689,8.26188575503415e-25,4.87368640689464e-21,45.9105198532024
"Lipe","Lipe",1.94139039078445,10.2834688537057,25.3160492368246,2.21513287418976e-24,8.71137921656358e-21,45.542533857635
"Cd36","Cd36",1.53675810706803,9.89132019106297,24.8776856922767,3.99755907610342e-24,1.1790800494967e-20,44.9675401188433
"Retsat","Retsat",1.48056938619451,8.00358538116464,24.0850547970086,1.19074339222962e-23,2.809678108305e-20,43.8233446968367
"Gpd1","Gpd1",2.21534227158462,10.4271900857402,23.2209222366649,4.06103613870615e-23,7.9853507274092e-20,42.6752058307178
"Fabp4","Fabp4",2.22221980694571,14.5851921701061,22.4749842302325,1.21002623594448e-22,2.03941279023899e-19,41.622026561172
"Ffar2","Ffar2",1.62500135008468,8.03880255235795,21.892850233263,2.90044259364032e-22,4.27742771497106e-19,40.6995209531378
"Adipor2","Adipor2",1.27008693453862,9.33163707738555,21.2410387920821,7.90832359729693e-22,1.03669335334344e-18,39.7472950899956
"Plin1","Plin1",1.21019024270129,9.86862270600649,20.9905269767315,1.17102836158034e-21,1.25598114635681e-18,39.360056559673
"Nat8l","Nat8l",2.24123121918839,5.84622957828672,21.1320835461096,9.37605188746384e-22,1.10618660168298e-18,39.1690055523828
"Adig","Adig",1.36361087881242,8.27771810789571,20.2785571203534,3.65376750724102e-21,3.59226242086913e-18,38.2188209715258
"Trarg1","Trarg1",1.50712133229098,7.71296374590412,19.1915697796841,2.21916084098519e-20,2.01397381553409e-17,36.42478974066
"Dlc1","Dlc1",1.14116887363093,9.10118846374293,19.1086627103199,2.5553495287386e-20,2.15342955286129e-17,36.2950936939403
"Tsc22d1","Tsc22d1",0.945551085435105,8.71600428784429,19.0408638414229,2.86887594357914e-20,2.22136724882182e-17,36.1795057753191
"G0s2","G0s2",1.83031355946666,9.37536723856513,19.0122991668174,3.01253398721386e-20,2.22136724882182e-17,36.1314330433453
"Pnpla2","Pnpla2",1.29539340320086,10.154638479046,18.5688840690696,6.48262060180837e-20,4.2489976588964e-17,35.3640998849855
"Arl4a","Arl4a",1.97301751416652,6.55854376711823,18.6848831936219,5.29735242105108e-20,3.67636258020945e-17,35.3489325580704
