"Shared","B.CAP7","B.ROSI"
"Selenow","Scd2","Pmp22"
"Atg101","Mcm6","Scd1"
"Igfals","Ksr1","Ubd"
"Hp","Slc27a1","Dock11"
"Dlc1","Tmbim6","Igfbp4"
"Cidec","Pfkp","Bhlhe40"
"Ccl6","Nampt","Dbp"
"Plin2","Mcm3","Dpep1"
"Angptl4","Fam111a","Rab6b"
"Arxes2","Tagln2","Matn2"
"Arl4a","Tenm4","Deptor"
"Idh3a","Gpsm2","Rras"
"Ppp2r5a","Ddit3","Dusp10"
"Hsd17b12","Top2a","Ftl1"
"4931406C07Rik","Ndrg1","Bzw2"
"Acox1","Alpl","Ogn"
"Ly6c1","Ets2","Mindy1"
"Ehd1","Kif23","Blvra"
"Acsl1","Ddit4","Klf15"
"Echdc1","Cd302","Ppfibp1"
"Picalm","Edem1","Slc35b4"
"Hprt1","Mcm5","Mpp1"
"Emp1","Cyb5r1","Acer2"
"Pck1","mt-Co1","Map9"
"Prkar2b","Pclaf","Megf9"
"Ciapin1","Fam117b","Pex5"
"Ralgds","Trim2","Mrpl18"
"Cbr3","Gpatch4","Trim24"
"Nectin2","Lig1","Rpia"
"Thbd","Smc2","Irf2bpl"
"Fabp5","Angptl6","Pdzd2"
"Adcyap1r1","Sema3g","Slc5a3"
"Tuba1a","Rnf128","1700123O20Rik"
"Pdhb","Npepps","Ephx1"
"Ppp1r15b","Ostf1","Tnip1"
"Aifm2","Cav2","Aph1b"
"Hspd1","Lrg1","6330409D20Rik"
"Hadha","Birc5","Zcchc24"
"Ccnd1","Aars1","Mmp2"
"Cyp2f2","Ghrh","Cox7a2l"
"Nrep","Ulk1","Rnf125"
"C9orf72","Tmcc1","Arl3"
"Mustn1","Ube2c","Foxc1"
"Sfxn1","Cenpf","Hotairm1"
"Tspan4","Ptprn","Rin2"
"S100a4","Plod1","Tdrp"
"Ubqln1","Basp1","Pradc1"
"Dhrs9","Ckap2l","Fmo2"
"Cd63","D830050J10Rik","Trps1"
"Ccl9","Gtse1","Stx2"
"Mrpl15","Slc25a33","Cyp4f17"
"Gas6","Tyms","Resf1"
"Syn2","Tra2b","2310001K24Rik"
"Aldh1a7","Fbln2","Lamb3"
"Acsl5","Dut","Dhtkd1"
"Cryab","Aspm","Tmem86a"
"Mcrip2","Ndc80","Heg1"
"Gsn","Serpinb8","Plekha6"
"Mxra8","Gins2","Fbxo25"
"Asns","Nr2f2","Dcun1d3"
"Tmem176b","D17H6S56E-5","Cd1d1"
"Fosl1","Postn","Lgi4"
"Pim3","Parl","Angpt4"
"Nudt4","Rhoj","Tef"
"S100a6","Net1","Apba1"
"Zfp503","Tcf19","Gabarap"
"Tmem182","Kif20b","Pwwp3a"
"Tmem176a","Eprs1","Gba1"
"Agpat3","Fbxo5","Fkbp4"
"Serpina3c","Abhd6","Slc6a6"
"Sorbs1","Ccna2","Flacc1"
"Chp1","Snupn","Zbtb4"
"Pgd","Rbpms2","Selenbp1"
"1600014C10Rik","Atf1","Fbln7"
"3930402G23Rik","Ttc19","Tnfrsf1b"
"Sparcl1","Tbl2","Ltbp3"
"Gpi1","Srr","Igf2bp1"
"Vim","Arhgef25","Mgrn1"
"Olfml3","Lsm5","Mid1ip1"
"Trarg1","Nasp","Spry1"
"Efr3a","Ube2d1","Sc5d"
"Isoc1","Slc2a4","Ap5s1"
"Gpat3","Smim11","Emilin1"
"Dlat","Fkbp10","Sdf2l1"
