"Shared","B.SCO","B.CAP7"
"Arxes2","Bzw2","Ccl9"
"Angptl4","Ltc4s","Gm35853"
"Cd36","Aatf","Kitl"
"Hsd17b12","Nabp1","Hspa5"
"Emp1","Rassf6","Pkm"
"Dlc1","Scd1","Psma1"
"Arl4a","Cdkl5","Dhrs3"
"Plin2","Ginm1","Cyp26b1"
"Hp","Cyb5a","Dennd2a"
"Cidec","Rnd2","Mfsd1"
"Retsat","Osgin1","Mkln1"
"4931406C07Rik","Phlda3","Ksr1"
"Mcrip2","Adamts15","Egln1"
"Hprt1","Riok2","Limk1"
"Idh3a","Zbtb11os1","Ssbp4"
"St3gal6","Map2k3","Adh7"
"Tmem176a","Acer2","Vnn3"
"Ephx2","Emp2","Ctso"
"Fabp4","Snrpb","Nampt"
"Igfals","P4hb","Mcm3"
"Nat8l","Dock11","Gns"
"Gas6","Rab6b","Acp5"
"Acox1","Fbxo2","Blmh"
"Ppp2r5a","Cyp4f17","Fzd1"
"Pck1","Fbxo25","Tmt1a"
"Asns","Matn2","Rrm2"
"Lrrc39","Zhx1","Sqor"
"Sorbs1","Tmtc4","Ufsp2"
"Olfml2b","Pdxk","Uso1"
"Cbr3","Tbc1d20","Maoa"
"Pgd","Slc20a2","Dusp1"
"Tmed5","Rpl32","Sccpdh"
"Tmem176b","Exoc2","Rcor2"
"Ralgds","Gm34084","Golga2"
"Acsl1","Gm20544","Anks6"
"Col5a2","Qtrt2","Dglucy"
"Mxra8","D16Ertd472e","Dynlt2b"
"Ciapin1","Aspa","Dazap1"
"Cryab","Dynlt3","Impact"
"Sparcl1","Pdzd2","Tenm4"
"Pnpla2","Slc35b4","Ppp1r3b"
"Rab5if","Prdx1","Rnf126"
"Ppp1r15b","Cldn12","Apoc4"
"Pex19","Trim24","Ddit3"
"Dlat","Mindy1","Cox4i1"
"Fabp5","Naa60","Rnf150"
"Tmem182","Flacc1","Ndrg1"
"Pdcd4","Hapln4","Alpl"
"Nipsnap1","Dcun1d3","Lipa"
"Chp1","Pwwp3a","Srgap3"
"Ffar2","Csf2rb","Rap2c"
"Pex16","Macrod1","Rpl7l1"
"Syn2","Fah","Cd9"
"Pim3","Ltbp3","Rgs16"
"Pdk2","Nans","Adam23"
"Thbd","Lgi4","Colec12"
"Adcyap1r1","Cox8b","Ubxn2b"
"Hadhb","Ftl1","Ndufs4"
"Alas1","Mtfp1","Cdk4"
"Tuba1a","Psip1","Ddit4"
"Adamts1","1810021B22Rik","Meis3"
"Arhgef17","Ogfod1","Cd302"
"1600014C10Rik","Trf","Bc1"
"Hipk3","Pacsin3","Mt2"
"Ubqln1","Ppfibp1","Sucla2"
"Picalm","Txnl4b","Cav1"
"Hcar2","Rps24","Kdm4b"
"Hsd11b1","Maco1","Setd7"
"Rgs2","Gclc","Edem1"
"Mrpl15","Eif3h","Steap3"
"Col1a2","Rps6kb1","Sfpq"
"Cyp2f2","Elavl1","Gper1"
"Cox5a","Itga1","Cyb5r1"
"Sfxn1","2210408F21Rik","mt-Co1"
"Hspd1","Dxo","Yjefn3"
"Pnpla8","Ubd","Copz1"
"Prkar2b","Tef","Cope"
"Cmbl","Sco2","Vhl"
"Dnajb9","Rap2a","Gulp1"
"Orm1","Crlf1","Stx7"
"S100a6","Ikbkg","Ehbp1l1"
