"Shared","B.SCO","B.ROSI"
"Arxes2","Lonrf1","Gstm1"
"Angptl4","Aatf","Anxa2"
"Cd36","Rassf6","Palm"
"Hsd17b12","Dnajb6","Gm35853"
"Emp1","Gsta3","Adrb3"
"Dlc1","Cyb5a","Adam23"
"Arl4a","Osgin1","Mfsd1"
"Plin2","Phlda3","Ccl9"
"Hp","Map2k3","Ctsz"
"Cidec","Abcd2","Slc5a6"
"Retsat","Cavin3","Limk1"
"4931406C07Rik","Mcm6","Tmt1a"
"Mcrip2","Tmtc4","Ppp1r1a"
"Hprt1","Aspm","Dpep1"
"Idh3a","Gclm","Gpd2"
"St3gal6","Pdxk","Nqo1"
"Tmem176a","Ube2c","Rasgef1b"
"Ephx2","Slc20a2","Ptcd2"
"Fabp4","Hmbox1","Ahnak"
"Igfals","Fbln2","Rbck1"
"Nat8l","Rpl32","Ctr9"
"Gas6","Exoc2","Spsb2"
"Acox1","Pde4b","Deptor"
"Ppp2r5a","Aspa","Rras"
"Pck1","Palld","Arhgap35"
"Asns","Smc1a","Pnp"
"Lrrc39","Basp1","Lctl"
"Sorbs1","Cldn12","Maoa"
"Olfml2b","Naa60","Lmo4"
"Cbr3","Hapln4","Sgpl1"
"Pgd","Tagln2","Cygb"
"Tmed5","Gm56878","Acp5"
"Tmem176b","Slc48a1","Rab3a"
"Ralgds","Ccna2","Ccdc9b"
"Acsl1","Cela1","Nfrkb"
"Col5a2","Pfkp","Gpat4"
"Mxra8","Fam111a","Vnn3"
"Ciapin1","Ogfod1","Gng2"
"Cryab","Tmbim6","Dmpk"
"Sparcl1","Txnl4b","Bid"
"Pnpla2","Rps24","Saraf"
"Rab5if","Maco1","Tgfbr2"
"Ppp1r15b","Gclc","Acaa2"
"Pex19","Eif3h","Dhrs3"
"Dlat","Rps6kb1","Siae"
"Fabp5","Rpl7","Tlr4"
"Tmem182","Slc35d1","Uba3"
"Pdcd4","Postn","Mpp1"
"Nipsnap1","2210408F21Rik","Tusc2"
"Chp1","Slc25a33","Ebpl"
"Ffar2","Rap2a","Slc35a4"
"Pex16","Crlf1","Map9"
"Syn2","Ikbkg","Triap1"
"Pim3","Foxd1","Neu1"
"Pdk2","Alkbh5","Gm56906"
"Thbd","Tyms","Sgta"
"Adcyap1r1","Ckap2l","Fth1"
"Hadhb","Mgat4b","Sqor"
"Alas1","Sptlc2","Xrcc3"
"Tuba1a","Gm57475","Mrpl35"
"Adamts1","Sqstm1","Dusp1"
"Arhgef17","Cenpf","Mrpl30"
"1600014C10Rik","Gpsm2","Sirt2"
"Hipk3","Bhlhe41","Lrp1"
"Ubqln1","Rps5","Pyroxd2"
"Picalm","Gtpbp4","Rpl7l1"
"Hcar2","Wdhd1","Leng1"
"Hsd11b1","Golm1","Lamp1"
"Rgs2","Rps26","Jup"
"Mrpl15","Gde1","Numbl"
"Col1a2","Sypl1","Agtrap"
"Cyp2f2","Tmcc1","Lipa"
"Cox5a","Klhl24","Rpia"
"Sfxn1","Abcc4","Smim29"
"Hspd1","Adh1","Kctd9"
"Pnpla8","Smc2","Cox4i1"
"Prkar2b","Shld3","Zfp768"
"Cmbl","Pear1","Cox6c"
"Dnajb9","Cnp","Snhg9"
"Orm1","Pla2g4a","Ccm2"
"S100a6","Fscn1","Camk2a"
"Tspan4","Grina","Amy1"
"Qdpr","Smc4","Ccdc85b"
"Pdxp","Mtus1","Nat8f3"
"Ehd1","Rpl22","Slc5a3"
"Agpat3","Racgap1","Renbp"
"Tmem120a","Pclaf","Ephx1"
"Ces1f","Top2a","Gm57137"
"Hycc2","Copg1","Capn2"
"Nrep","Esd","Ndufaf8"
"Rxra","Nadk2","Klhdc10"
"Fbln5","Ttk","Radil"
"Tgfbi","Arid4a","Prmt1"
"Gpat3","Kif21a","Mkln1"
"Bgn","Zfp664","Mrpl57"
"Aspn","Rnd3","Aph1b"
"Anxa8","Gins2","Zcchc24"
"Lpcat3","Bmper","Uqcr11"
"Hadha","Cers4","Dmtn"
"Septin6","Arhgap20","Tsc22d1"
"Cat","Commd5","Rreb1"
"Sod2","Smcr8","Slc39a11"
"Serpinb6a","Rpl31","Mmp2"
"Serpina3c","Eif2ak1","Cox7a2l"
"Col3a1","Wbp1","Sucla2"
"Grhpr","Nr1h2","Myh11"
"Adipor2","Eif2ak4","Rnf125"
"Dhrs7b","Stx11","Foxc1"
"Olfml3","Ckap2","Arhgef10l"
"Aldh1a7","Slc27a1","H2ac25"
"Cald1","Sgo1","Synj2bp"
"Trabd2b","Tstd3","Hr"
"Echdc1","Dlx4","Trim8"
"Dhrs9","9330102E08Rik","Mfge8"
"Ctsl","Slc22a17","Tnfsf12"
"Tmem109","Ccnb2","Atp5mf"
"Efr3a","Klf10","Sesn3"
"Mmgt1","Rps21","Ptk2b"
"Pea15a","Cdca2","Taok3"
"Sparc","Def8","Rin2"
"Ndufaf4","Ank","Psmd3"
"Pdhb","Ap5b1","Dynlt2b"
"Slc9a6","Ap1g2","Ctso"
"Sult1a1","Dnmt3a","Aqp2"
"Trarg1","Sfr1","1700017B05Rik"
"Mustn1","9330154J02Rik","Ivd"
"Sfrp2","Cul2","Tdrp"
"Bcap31","Sipa1l3","P2rx4"
"Bzw2","Map2k5","Pradc1"
"Fitm2","Hells","Dazap1"
"Ccl6","Rbm15","Fmo2"
"Lfng","Uba5","P2rx3"
"Ltc4s","Tarbp1","Trps1"
"Lhfpl2","Birc5","Trp53inp1"
"Gstt3","Tubb2a","Ulk2"
"Msra","Ccdc59","Ergic1"
"Rasl11a","Ppil4","Apoc4"
"Vim","Gk5","Pgls"
"Mmp14","Kif23","Resf1"
"Aco2","Trip13","Tax1bp1"
"Gpd1","Snhg8","Rsl1d1"
"C9orf72","9530082P21Rik","Tmem242"
"Marchf5","Dennd5b","Prorsd1"
"Ly6c1","Rpl27a","Fat1"
"Prxl2a","Tcf19","Rcn2"
"Prdx3","Gm45338","Tmem19"
"Emc6","Tmem131","Sccpdh"
"Ift122","Pbx2","Rps6ka1"
"Mcur1","Col16a1","Psma1"
"Acta2","Rab21","Sema5a"
"Sh3bp5","Klhl7","Mphosph6"
"Decr1","Sugt1","Adck2"
"Cavin1","Ak3","Cyp2ab1"
"Ermp1","Spag5","Peds1"
"Abhd5","Gsr","Dhtkd1"
"Cited2","S100a10","Tst"
"Adig","Greb1","Fuca2"
"Clstn3","Rps8","Dglucy"
"Nectin2","Syne2","Acox3"
"Nudt4","Pold1","Gns"
"Derl1","Rny3","Cmc2"
"Aldh9a1","Spred1","Zc3h7b"
"9130401M01Rik","Saa2","Tmem86a"
"Samm50","Fbxo5","Aldh4a1"
"Hmgb3","Cdk8","Heg1"
"Hes1","Cip2a","Tmem186"
