"Shared","T.DMSO","T.ROSI"
"Hp","Cxcl5","Mcur1"
"Cidec","Smpd1","Tmed5"
"Tnip1","Psmb10","1600014C10Rik"
"Ccl2","Acp5","Hcar2"
"Nfkbia","Bcl3","Gk"
"Cfb","Agt","Mtus1"
"Ripk2","Dcbld2","Unc119"
"Tagln2","Gbp2","Ctsl"
"Ptges","Slc11a2","Acaa1a"
"Vcam1","Nfia","Gprc5b"
"Sod2","Tapbp","Cbr1"
"Ccl7","Lrig1","B430010I23Rik"
"Tnfaip2","Psme1","Ermp1"
"Gpd1","Mtss2","Etv3"
"Irf1","Ifngr1","Mrpl45"
"Nrp2","Cav1","Ndufaf4"
"Mknk2","Psmb8","Ddah2"
"Pdpn","Cyp26b1","Pgp"
"Plin1","Pals2","Adamts1"
"A530016L24Rik","Loxl2","Lgr4"
"Pank3","App","Pdzrn3"
"Bid","Ivd","Cndp2"
"Ccl9","Ccdc80","Pigl"
"Csf1","Psmd10","Saraf"
"Lipe","Enpp4","Prune1"
"Tmem176a","Pde4b","Tmem97"
"Il6st","Cav2","Sipa1l1"
"Rgs2","Akap12","Pdgfrb"
"Angptl4","Pparg","Tcf4"
"Adrb3","Lpar4","Smoc1"
"Cd44","Adcyap1r1","Fcf1"
"Junb","Chi3l1","Timm22"
"G0s2","Pdgfa","Ptk2b"
"Cdkn2c","Hspa5","Tomm70a"
"Ptx3","Slc25a18","Sdc2"
"Hpx","Klf5","Trp53inp2"
"Cxcl1","Bltp3b","Acadl"
"Cebpa","Fxyd1","Kif13a"
"Tst","Tef","Impa2"
"Cp","Pygb","Kitl"
"Cavin2","Dbp","Elmod2"
"Aoc3","Rnd2","Arel1"
"Pde3b","Bbln","Orm3"
"Timp1","Tubb2a","Blvra"
"Eif4ebp1","Fmr1","Kiz"
"Paqr4","Nt5dc2","St3gal2"
"Gng12","Tmem140","B3glct"
"Hmga2","Foxp4","Lamb1"
"Bscl2","Gstk1","Chchd4"
"Adig","Calcrl","Pabir2"
"Gpat3","Rasl11b","Cd302"
"Relb","Sbno2","Rrs1"
"Gpt","Stat3","Arhgap18"
"Scd1","Mvp","Socs2"
"Nfkb2","Thbs2","Bgn"
"Car5b","Ddx21","Lzic"
"Saa3","Peli2","Lhfpl6"
"Mmp3","Adamts12","Epdr1"
"Ubd","Mybbp1a","Trafd1"
"Retsat","Maff","Thoc6"
"AW112010","C3","Cbx6"
"Mt2","Morc4","Naa50"
