"Shared","T.ROSI","B.ROSI"
"Cidec","Abcd2","Pdcd4"
"Retsat","Dipk2a","Adcyap1r1"
"Arxes2","Mcam","Sh3kbp1"
"Gpd1","Lrg1","Pparg"
"Arl4a","Hpx","Anxa8"
"Cd36","Cdkn2c","Rxra"
"Ffar2","Cers4","Gstk1"
"Dnajb9","Mtus1","Ybx3"
"Cavin2","Unc119","Septin9"
"Dlc1","Trib1","Mtss2"
"Lipe","Idh1","Nfix"
"Olr1","Mknk2","Ccnd1"
"Adipor2","Gnpat","Prkcd"
"Nat8l","Tob1","Cish"
"Idh3a","Slc2a4","Gltp"
"Fabp4","Slc1a5","Dipk1a"
"Acox1","Cdc42ep2","Mthfd2"
"Tsc22d1","Rad50","Il17re"
"Pim3","Phlda3","Dbp"
"Ephx2","Hacd2","Tuba1c"
"Trarg1","Hexim1","Cxcl5"
"Plin1","Tbc1d4","Apoc1"
"4931406C07Rik","Acsf2","Tmt1a"
"G0s2","Akt2","Nfia"
"Adig","Ripk2","Tmem140"
"Sorbs1","Pank3","Fos"
"Agpat2","Bcar3","Ldaf1"
"Pnpla2","Fcor","Hipk3"
"Cavin1","Selenop","Sfrp2"
"Fitm2","Dipk1b","Foxo6"
"Scarb1","Ly75","Tigd2"
"Cebpa","Slc8a1","Wnk4"
"Tmcc3","Gm19705","Ssbp3"
"Acadm","Fibin","Cfd"
"Ormdl3","Ampd3","BC037039"
"Crat","Aspa","Vamp5"
"Dhrs7b","Lgr4","Rras"
"Pnpla8","Pdzrn3","Arhgap35"
"Mcur1","Steap4","Ftl1"
"Acsl1","Nrp1","Lctl"
"Mrap","Birc2","Acp5"
"Aqp7","6430571L13Rik","Gda"
"Gadd45g","Ccl5","Rusc2"
"Fabp5","Lpgat1","Maff"
"Atg101","Hibch","Nfrkb"
"Hycc2","Ereg","Nfic"
"Mmd","2010003K11Rik","Gng2"
"Clstn3","Prlr","Dmpk"
"Abhd5","Rilpl2","Atf4"
"Prxl2a","Ankrd28","Niban1"
"Echdc1","Fam83a","Glrx"
"A530016L24Rik","Abcc3","Sgce"
"Pck1","Tfrc","C030014I23Rik"
"Gpat3","Wfdc17","Slc35b4"
"Aco2","Siglec1","Rora"
"Acat2","Pgrmc2","Ebpl"
"Cmbl","Mtarc2","Gdf15"
"Cluh","Alad","Nmi"
"Uck1","Rasd1","Lrig1"
"Decr1","Tlcd1","Smim5"
"Mcrip2","Lpl","Gstm7"
"Mfge8","Blcap","Cfl2"
"Agpat3","Scd2","Dusp1"
"Tmem120a","Arel1","Pyroxd2"
"Hadhb","Jcad","Parp16"
"Prkar2b","Jak2","Parva"
"Aldh9a1","9630013D21Rik","Jup"
"Hadha","Ablim2","Trim24"
"Lpcat3","Col15a1","Ccdc80"
"Tmed5","Pitpnm2","2510039O18Rik"
"Plin4","Itsn1","Gm48832"
"Aatk","Arrb1","Ociad1"
"Qdpr","Fmnl2","Tln2"
"Dgat1","Cfb","Ccm2"
"Sort1","Gas7","Amy1"
"Etfb","Cilp2","Ccdc85b"
"Pde3b","Klf7","Slc5a3"
"Paqr4","Gm56862","Rasl11b"
"Aldh1a7","Cd302","Sil1"
"Sbsn","AU020206","Nme4"
"Aco1","Apex2","Gm57137"
"Cox8b","Gm56878","Ncor2"
"Lrrc39","Mapk6","Ampd2"
"Pex19","Arhgap18","Szrd1"
"Hsdl2","Uhrf2","Atp6v0e2"
"Chp1","Abcb9","Prmt1"
"3930402G23Rik","Cgnl1","Atp13a3"
"Taldo1","Ccl8","Fxr2"
"1600014C10Rik","Adora1","Dmtn"
"Ech1","Cox20","Tmem220"
"Atp5mc3","Zfp36l2","Mdm2"
"Pdk2","Il13ra2","Dpysl3"
"Hcar2","Zfp36","Stard5"
"Irs2","Tnfaip2","Myh11"
"Ppp2r5a","Aldh6a1","Foxc1"
"Krt79","Cox7a1","Ppme1"
"Chpt1","Slamf8","Cdk16"
"Dgat2","Ucp3","Lxn"
"Dolk","Hoxb3os","Garnl3"
"Sfxn1","Acly","Sbf1"
"Fgfrl1","Gm44386","Stam2"
"Acaa2","Card19","Trim8"
"Slc25a34","Akt3","Creb3l1"
"Reep6","Cyp7b1","Snn"
"Cs","Ifi207","Ncbp1"
"Pdk4","Tmem65","C3"
"Gk","Plscr2","Psmd3"
"Rab5if","1700020L24Rik","Camsap2"
"Lgals12","Brpf3","Ctso"
"Hsd17b12","Gm26588","Rit1"
"Acss2","Atosa","Aqp2"
"Ctcflos","Irf1","1700017B05Rik"
"Adamts5","Rnf144a","Ivd"
"Sox4","Ak3","Rbbp9"
"Adissp","Plaat3","Fmo2"
"Tle3","Gna13","P2rx3"
"Coq9","Tcim","Lrpap1"
"Gas6","Il1rl1","Ctnnal1"
"Alas1","Parm1","Comtd1"
"Ccl6","Rasa3","Yrdc"
"Tapt1","Adhfe1","Ulk2"
"Hmgb3","Tyk2","Wdr27"
"Grhpr","Commd3","Sh3bgrl"
"Ndufab1","Cela1","Tax1bp1"
"Peg10","Gm10687","Lamb3"
"Kcnk3","Adh1","Cars1"
"Bcl2l13","Lncbate1","Smurf1"
"Msra","Fbxo45","Them4"
"Pfkl","Gadd45a","Sema5a"
"Aifm2","Lrch1","ENSMUSG00000121879_Zfp862-ps"
"Nabp1","Cd74","Cyp2ab1"
"Dlat","Flot1","C2cd2l"
"Pcx","Saa1","Pik3r2"
"Bscl2","Igsf9","Bmp4"
"Lpin1","Pik3r5","Man1a"
"Camp","Tbl1xr1","Dhtkd1"
"Cdo1","Slpi","Vkorc1"
"Cat","Gm14221","Smim1"
"Cited2","Gls","Acox3"
"Slc25a22","Gadd45b","Dap"
"Angptl4","Angptl1","Gnpnat1"
"Gramd1b","Smim19","Lgals9"
"Eci2","Srgap1","Zc3h7b"
"Ppp1r3d","Pkp4","Sdc1"
"Ubqln1","Nhs","Mpv17"
"Gstz1","Dlg4","Heg1"
"Pdhb","Igsf3","Plekha6"
"Acadvl","Tgif1","Blmh"
"Apmap","Acaca","Mfap5"
"B3galt2","Get1","S1pr1"
"Cpt2","Mcc","Card14"
"Bckdhb","Mmut","Tef"
"Htra3","Rcbtb2","Mbnl3"
"Ppa1","Pdk1","Carhsp1"
"Gdpd1","Hspa4l","Hmox1"
"Larp1b","Dync1i2","Slc7a1"
"C9orf72","Aldh3b3","mt-Tl2"
"Arhgef17","Polr3gl","Polr3h"
"Mdh2","Abhd16a","Kcmf1"
"Rmdn3","Egfr","Gabarap"
"Cox7a2","Slc25a42","Jam2"
"Plin2","Gm38882","Snord13"
"Derl1","Ghrh","Slc6a6"
"Abhd15","Ddo","Psmd13"
"Dbi","Adamts4","Sptssa"
"Mmp14","Rasl12","Stip1"
"Mgst1","Cxcl9","mt-Tq"
"Glul","Mutyh","Mlxipl"
"Slc25a51","Clcn5","Gabpa"
"Cyp2f2","Ankef1","Fbln7"
"Ahnak2","Slc48a1","Slc11a2"
"Qki","Ccni","Got1"
"Rnf122","Plekhg3","Itgbl1"
"Slc1a3","Tbl2","Tmed3"
"Sod2","Nfkbie","Serf1"
"Extl3","Adamts7","Zfp639"
"Nudt4","Aqp11","Timm44"
"Ctsl","Pdzk1","Fxyd1"
"Picalm","S1pr3","Eif4e2"
"Pex16","Ube2a","Gtf2a1"
"Jade1","Cep83","Banf1"
"Cryab","Casp4","Nr4a1"
"Etfdh","Eif2b1","Ltbp3"
"Slc25a10","Gatd3a","Igf2bp1"
"Celf2","Serpina3f","Clptm1"
"Sh3pxd2a","Slc39a6","Mid1ip1"
"Dhrs3","Irak3","Gm43703"
"Gale","Gyg1","Gmcl1"
"Usp38","Ehhadh","Atp1b3"
"Mlycd","Pde7a","Rnd2"
"Cyc1","Tpbg","Snrpd3"
"Dnajc15","Sptbn1","Nedd8"
"Acaa1a","Kctd1","Fam210b"
"Dclk1","Tubb2b","Camsap3"
"Runx1t1","Mvk","Mllt11"
"Gstt3","Gm45187","Eif5"
"Gm35853","Ndufs3","Dohh"
"Gpam","Acat3","Tmem161a"
"Ppp2r1b","Zfp423","Bltp3b"
"Acbd4","Fam117a","Mest"
"Pde1b","Slk","Slc46a3"
"Atp5po","Cdkn2b","Mycl"
"Mpc2","Clmn","Adam33"
