"Shared","T.SCO","B.SCO"
"Cidec","Tsc22d1","Asns"
"Arxes2","Cebpa","Ralgds"
"Lipe","Mknk2","Pdcd4"
"Cd36","Slc1a3","Adcyap1r1"
"Retsat","Dipk2a","Hipk3"
"Gpd1","Kcnk3","Rxra"
"Fabp4","Ccl5","Fbln5"
"Ffar2","Cdkn2c","Anxa8"
"Adipor2","Gm19705","Septin6"
"Plin1","Mfge8","Trabd2b"
"Nat8l","Flt1","Efr3a"
"Adig","B3galt2","Sfrp2"
"Trarg1","Cd274","Lfng"
"Dlc1","Idh1","Lhfpl2"
"G0s2","Saa3","Sh3bp5"
"Pnpla2","Tle3","Nectin2"
"Arl4a","Sbsn","Hes1"
"Ephx2","Slc25a10","Sox9"
"Cavin2","Tob1","Nedd4l"
"Idh3a","Slc2a4","Fosl1"
"Acox1","Qki","Fuca1"
"4931406C07Rik","Ppp1r3d","Hmox1"
"Abcd2","Unc119","Fhl2"
"Pim3","Hexim1","Nfix"
"Fitm2","Ripk2","Rarres2"
"Dnajb9","Gnpat","Itih4"
"Prxl2a","Slc1a5","Nr4a1"
"Sorbs1","Xrcc3","Tsku"
"A530016L24Rik","Pank3","Wnk4"
"Cavin1","Dhrs3","Lasp1"
"Pnpla8","Tbx18","Eif1ad"
"Cluh","Tlr2","Sh3kbp1"
"Scarb1","H1f2","Tns2"
"Plin4","Pex11a","Ifrd1"
"Dhrs7b","Cdc42ep2","Zfp503"
"Ormdl3","Birc2","Ccnd1"
"Agpat2","Nqo1","Mtss2"
"Fabp5","6430571L13Rik","Cth"
"Pck1","Adamts4","Apoc1"
"Aqp7","Tbc1d4","Pparg"
"Acadm","Lrg1","Rasl11b"
"Taldo1","Pank1","Gstk1"
"Dgat2","Hibch","Nt5dc2"
"Pdk2","Cyp7b1","Twf2"
"Alas1","Ifi207","Ccdc80"
"Uck1","Sptbn5","Smurf1"
"Clstn3","Acaa2","Rhot2"
"Mcrip2","Il15ra","Dnajb6"
"Hycc2","Acaa1a","Atp1b1"
"Krt79","Jak2","Nus1"
"Crat","Tlcd1","Il17re"
"Dgat1","Mcam","Appl2"
"Acat2","Gpam","Chchd4"
"Prkar2b","Adrb3","Mccc1"
"Pcx","Amigo2","Plppr3"
"Cat","Mmab","Foxo6"
"Peg10","Uqcr11","Mthfd2"
"Atg101","Celf2","Vdac3"
"Cmbl","Cxcl9","Lum"
"Cox8b","Pgrmc2","Smim1"
"Phlda3","Il13ra2","Nudt18"
