"only_T.DMSO","only_T.ROSI","only_T.SCO","T.DMSO_and_T.ROSI","T.DMSO_and_T.SCO","T.ROSI_and_T.SCO","all_three"
"Acp5","Lamb1","Blvrb","Tnip1","Cxcl5","Mcur1","Hp"
"Bcl3","Chchd4","Gsta3","Nfkbia","Smpd1","Tmed5","Cidec"
"Agt","Mafb","Fads2","Cfb","Psmb10","1600014C10Rik","Ccl2"
"Dcbld2","Washc2","Gsto1","Ptges","Gbp2","Hcar2","Ripk2"
"Slc11a2","Asns","Gclm","Ccl9","Nfia","Gk","Tagln2"
"Tapbp","Angpt2","Pck2","Hmga2","Psmb8","Mtus1","Vcam1"
"Lrig1","Ro60","Prr11","Mmp3","Loxl2","Unc119","Sod2"
"Psme1","H2ac25","L3mbtl2","AW112010","App","Ctsl","Ccl7"
"Mtss2","Pbxip1","Lonrf1","Cstb","Ivd","Acaa1a","Tnfaip2"
"Ifngr1","Anxa5","Brd7","Dram1","Enpp4","Gprc5b","Gpd1"
"Cav1","Kctd1","Zfp637","Ppp1r3c","Pde4b","Cbr1","Irf1"
"Cyp26b1","Dtx3","Col4a2","Dusp6","Fxyd1","B430010I23Rik","Nrp2"
"Pals2","Mix23","Cenpf","Hes1","Dbp","Ermp1","Mknk2"
"Ccdc80","Stx2","Shld1","Eif6","Tubb2a","Etv3","Pdpn"
"Psmd10","Cth","Cdc42se1","H2-K1","Peli2","Mrpl45","Plin1"
"Cav2","Hs1bp3","Eif2ak1","Vmp1","Fubp1","Ndufaf4","A530016L24Rik"
"Akap12","Mrpl43","Psmb5","Mrpl38","Sdc1","Ddah2","Pank3"
"Pparg","Jmjd6","Gm54867","Ikbke","1110038F14Rik","Pgp","Bid"
"Lpar4","Atg16l1","Map6","Trabd2b","Gopc","Adamts1","Csf1"
"Adcyap1r1","Fbxl14","Abcc4","S100a8","Tapbpl","Lgr4","Lipe"
"Chi3l1","Serinc5","Rabl6","Fas","Nmi","Pdzrn3","Tmem176a"
